artist,start,end,stage
Talón,2:30 PM,3:00 PM,Coachella Stage
LUDMILLA,3:00 PM,3:35 PM,Coachella Stage
YG Marley,4:05 PM,4:55 PM,Coachella Stage
Carin León,5:25 PM,6:15 PM,Coachella Stage
Bebe Rexha,6:50 PM,7:35 PM,Coachella Stage
J Balvin,8:15 PM,9:15 PM,Coachella Stage
Doja Cat,10:25 PM,CLOSE,Coachella Stage
Tiffany Tyson,3:55 PM,4:55 PM,Outdoor Theater
Reneé Rapp,5:05 PM,5:55 PM,Outdoor Theater
The Rose,6:25 PM,7:10 PM,Outdoor Theater
Khruangbin,7:50 PM,8:50 PM,Outdoor Theater
Jhené Aiko,9:30 PM,CLOSE,Outdoor Theater
Argenis,1:00 PM,1:55 PM,Sonora
jjuujjuu,1:55 PM,2:40 PM,Sonora
Bb Trickz,3:00 PM,3:30 PM,Sonora
feeble little horse,3:55 PM,4:30 PM,Sonora
Hermanos Gutiérrez,4:50 PM,5:40 PM,Sonora
Eddie Zuko,6:05 PM,6:45 PM,Sonora
LATIN MAFIA,7:05 PM,7:50 PM,Sonora
Mandy Indiana,8:15 PM,8:55 PM,Sonora
Boy Harsher,9:20 PM,CLOSE,Sonora
waveGroove,2:15 PM,3:20 PM,Gobi
Mdou Moctar,3:30 PM,4:10 PM,Gobi
Jockstrap,4:40 PM,5:20 PM,Gobi
Olivia Dean,5:50 PM,6:30 PM,Gobi
Two Shell,7:00 PM,7:50 PM,Gobi
Barry Can't Swim,8:20 PM,9:10 PM,Gobi
ATARASHII GAKKO!,9:40 PM,CLOSE,Gobi
Honey Roots,2:00 PM,2:50 PM,Mojave
FLO,3:00 PM,3:45 PM,Mojave
Taking Back Sunday,4:10 PM,4:55 PM,Mojave
88RISING FUTURES,5:20 PM,6:25 PM,Mojave
Victoria Monét,6:55 PM,7:40 PM,Mojave
Tems,8:10 PM,8:50 PM,Mojave
Lil Yachty,9:20 PM,10:10 PM,Mojave
BICEP,10:40 PM,CLOSE,Mojave
BONES,2:00 PM,2:50 PM,Sahara
Tita Lau,3:00 PM,3:45 PM,Sahara
SPINALL,4:00 PM,4:45 PM,Sahara
AP Dhillon,5:10 PM,5:50 PM,Sahara
NAV,6:20 PM,7:05 PM,Sahara
Anyma,7:45 PM,8:45 PM,Sahara
DJ Snake,9:15 PM,10:15 PM,Sahara
John Summit,10:55 PM,CLOSE,Sahara
JOPLYN,1:00 PM,2:00 PM,Yuma
DJ Seinfeld,2:00 PM,3:00 PM,Yuma
Flight Facilities,3:00 PM,4:30 PM,Yuma
Eli & Fur,4:30 PM,6:00 PM,Yuma
Adam Ten x Mita Gami,6:00 PM,7:30 PM,Yuma
Carlita,7:30 PM,9:00 PM,Yuma
Folamour,9:00 PM,10:30 PM,Yuma
ARTBAT,10:30 PM,CLOSE,Yuma
Mall Grab,4:00 PM,6:15 PM,Quasar
Jamie xx x Floating Points x Daphni,6:15 PM,CLOSE,Quasar
Miss Dre,2:00 PM,3:00 PM,Heineken House
Iglesias,3:00 PM,4:00 PM,Heineken House
Klingande,4:00 PM,5:30 PM,Heineken House
Louie Vega,5:30 PM,7:00 PM,Heineken House
Lupe Fiasco,7:15 PM,8:30 PM,Heineken House
Claptone,8:45 PM,10:00 PM,Heineken House
Smiles Davis,1:00 PM,2:00 PM,Do LaB
Mia Moretti,2:00 PM,3:05 PM,Do LaB
Player Dave,3:05 PM,4:05 PM,Do LaB
SICARIA,4:05 PM,5:05 PM,Do LaB
Tape B,5:05 PM,6:05 PM,Do LaB
Hamdi,6:05 PM,7:15 PM,Do LaB
Chase & Status,7:15 PM,8:35 PM,Do LaB
Nikki Nair x Hudson Mohawke,8:35 PM,9:45 PM,Do LaB
Body Hi by Alesso,9:45 PM,10:45 PM,Do LaB
Surprise,10:45 PM,12:00 AM,Do LaB
