artist,start,end,stage
LUDMILLA,2:55 PM,3:35 PM,Coachella Stage
YG Marley,4:05 PM,4:55 PM,Coachella Stage
Carin León,5:25 PM,6:15 PM,Coachella Stage
Bebe Rexha,6:50 PM,7:35 PM,Coachella Stage
J Balvin,8:15 PM,9:15 PM,Coachella Stage
Doja Cat,10:25 PM,CLOSE,Coachella Stage
Jeremiah Red,3:55 PM,4:55 PM,Outdoor Theater
Reneé Rapp,5:05 PM,5:55 PM,Outdoor Theater
The Rose,6:25 PM,7:10 PM,Outdoor Theater
Khruangbin,7:50 PM,8:50 PM,Outdoor Theater
Jhené Aiko,9:30 PM,CLOSE,Outdoor Theater
DJ Jon,1:00 PM,1:55 PM,Sonora
jjuujjuu,1:55 PM,2:40 PM,Sonora
Bb Trickz,3:00 PM,3:30 PM,Sonora
feeble little horse,3:55 PM,4:30 PM,Sonora
Hermanos Gutiérrez,4:50 PM,5:40 PM,Sonora
Eddie Zuko,6:05 PM,6:45 PM,Sonora
LATIN MAFIA,7:05 PM,7:50 PM,Sonora
Mandy Indiana,8:15 PM,8:55 PM,Sonora
Boy Harsher,9:20 PM,CLOSE,Sonora
Saya W,2:15 PM,3:20 PM,Gobi
Mdou Moctar,3:30 PM,4:10 PM,Gobi
Jockstrap,4:40 PM,5:20 PM,Gobi
Olivia Dean,5:50 PM,6:30 PM,Gobi
Two Shell,7:00 PM,7:50 PM,Gobi
Barry Can't Swim,8:20 PM,9:10 PM,Gobi
ATARASHII GAKKO!,9:40 PM,CLOSE,Gobi
Savvy Lo,2:00 PM,2:55 PM,Mojave
FLO,3:00 PM,3:50 PM,Mojave
Taking Back Sunday,4:20 PM,5:05 PM,Mojave
Skream,5:30 PM,6:25 PM,Mojave
Victoria Monét,6:55 PM,7:40 PM,Mojave
Tems,8:10 PM,8:50 PM,Mojave
Lil Yachty,9:20 PM,10:10 PM,Mojave
BICEP,10:40 PM,CLOSE,Mojave
Canyon Cody,2:00 PM,2:50 PM,Sahara
Tita Lau,3:00 PM,3:45 PM,Sahara
SPINALL,4:00 PM,4:45 PM,Sahara
Kid Cudi,5:10 PM,5:50 PM,Sahara
NAV,6:20 PM,7:05 PM,Sahara
Anyma,7:45 PM,8:45 PM,Sahara
DJ Snake,9:15 PM,10:15 PM,Sahara
John Summit,10:55 PM,CLOSE,Sahara
JOPLYN,1:00 PM,2:00 PM,Yuma
DJ Seinfeld,2:00 PM,3:00 PM,Yuma
Flight Facilities,3:00 PM,4:30 PM,Yuma
Eli & Fur,4:30 PM,6:00 PM,Yuma
Adam Ten x Mita Gami,6:00 PM,7:30 PM,Yuma
Carlita,7:30 PM,9:00 PM,Yuma
Folamour,9:00 PM,10:30 PM,Yuma
ARTBAT,10:30 PM,CLOSE,Yuma
BLOND:ISH,4:00 PM,6:15 PM,Quasar
Diplo x Mau P,6:15 PM,CLOSE,Quasar
Miss Dre,2:00 PM,3:00 PM,Heineken House
Iglesias,3:00 PM,4:00 PM,Heineken House
Klingande,4:00 PM,5:30 PM,Heineken House
Louie Vega,5:30 PM,7:00 PM,Heineken House
Lupe Fiasco,7:15 PM,8:30 PM,Heineken House
Claptone,8:45 PM,10:00 PM,Heineken House
Patricio,1:00 PM,2:15 PM,Do LaB
Tinzo & JoJo (Book Club Radio),2:15 PM,3:30 PM,Do LaB
Julya Karma,3:30 PM,4:45 PM,Do LaB
Jasper Tygner,4:45 PM,5:55 PM,Do LaB
Surprise,5:55 PM,6:35 PM,Do LaB
&friends,6:35 PM,7:40 PM,Do LaB
Sultan + Shepard DJ SET,7:40 PM,8:45 PM,Do LaB
Dylan Brady,8:45 PM,9:45 PM,Do LaB
Dj Tennis,9:45 PM,10:50 PM,Do LaB
Surprise,10:50 PM,12:00 AM,Do LaB
