artist,start,stage,url
Shaboozey,4:05 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
beabadoobee,5:25 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Junior H,7:00 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Megan Thee Stallion,8:35 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Post Malone,10:25 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
MEUTE,4:00 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Keshi,5:00 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Still Woozy,6:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
JENNIE,7:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Zedd,9:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Polo & Pan,10:55 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Interplanetary Criminal,4:00 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Ben Böhmer,5:00 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Tom Breu,5:50 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Sammy Virji,6:00 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Boris Brejcha,7:00 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Chase & Status,8:10 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Ty Dolla $ign,9:35 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
XG,10:55 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Muni Long,4:10 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Jessie Murph,5:25 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Fcukers,6:10 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Rema,6:40 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Basement Jaxx,8:00 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Kraftwerk,9:25 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Tiësto,10:45 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
The Beaches,4:00 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Amaarae,5:00 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Hope Tala,5:50 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Mohamed Ramadan,6:20 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
BigXthaPlug,7:25 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Arca,8:35 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Amyl and the Sniffers,9:55 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Wisp,4:10 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Kumo 99,4:55 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
SOFT PLAY,5:20 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Bob Vylan,6:05 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Circle Jerks,6:30 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Ginger Root,7:40 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Snow Strippers,9:05 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
