artist,start,stage,url
Young Miko,4:45 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Sabrina Carpenter,6:00 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Lil Uzi Vert,7:35 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Peso Pluma,9:05 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Lana Del Rey,11:20 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
L’Impératrice,5:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Deftones,6:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Everything Always,8:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Justice,10:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Honey Dijon x Green Velvet,11:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Cloonee,4:00 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Ken Carson,5:20 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Skepta,6:30 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Bizarrap,7:45 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Peggy Gou,9:15 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
ATEEZ,10:45 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Steve Angello,12:00 AM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Mall Grab,4:00 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
The Japanese House,4:30 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Faye Webster,5:40 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Tinashe,6:55 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Yoasobi,8:20 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Hatsune Miku,9:50 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Anti Up,11:15 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Sid Sriram,4:20 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Chappell Roan,5:30 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Brittany Howard,6:45 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
NEIL FRANCES,8:00 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Chlöe,9:15 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Suki Waterhouse,10:30 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Livestream begins,4:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
late night drive home,4:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
The Beths,4:50 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Eartheater,5:55 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Narrow Head,7:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Black Country New Road,8:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Clown Core,9:05 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Son Rompe Pera,10:20 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
