artist,start,stage,url
Doechii,4:05 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Pusha T,4:20 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Becky G,5:35 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Burna Boy,7:00 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Gorillaz,8:30 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Bad Bunny,11:00 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Saba,4:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
YUNGBLUD,4:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
The Comet Is Coming replay,5:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
SG Lewis,6:00 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Kaytranada,7:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
The Chemical Brothers,9:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Malaa,4:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Vintage Culture,5:00 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
MK,6:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Jamie Jones,7:15 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Dombresky replay,8:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Two Friends,8:35 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Metro Boomin & Friends,9:50 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
BENEE,4:05 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
MUNA,4:50 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Lewis OfMan replay,5:35 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Wet Leg,6:00 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Domi & JD Beck replay,6:45 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Blondie,7:20 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Angèle,8:50 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
FKJ,10:15 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Gabriels replay,4:05 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Overmono,4:20 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Jupiter & Okwess replay,5:10 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Tobe Nwigwe,5:30 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
¿Téo? replay,6:20 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Yves Tumor,6:45 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
The Garden,7:55 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Whyte Fang,9:05 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Ashnikko,10:20 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Oliver Koletzki,4:05 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Dennis Cruz + PAWSA,4:15 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Nora En Pure,5:30 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Idris Elba,6:45 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Mochakk,8:15 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
TESTPILOT,9:45 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Maceo Plex,11:15 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
