artist,start,end,stage
Gabe Real,3:00 PM,4:00 PM,Coachella Stage
Thee Sacred Souls,4:20 PM,5:10 PM,Coachella Stage
MARINA,5:40 PM,6:30 PM,Coachella Stage
Benson Boone,7:05 PM,8:05 PM,Coachella Stage
Missy Elliott,9:00 PM,9:55 PM,Coachella Stage
Lady Gaga,11:10 PM,CLOSE,Coachella Stage
Tiffany Tyson,2:50 PM,3:50 PM,Outdoor Theater
Seun Kuti & Egypt 80,4:05 PM,4:55 PM,Outdoor Theater
The Go-Go's,5:25 PM,6:15 PM,Outdoor Theater
Tyla,6:45 PM,7:30 PM,Outdoor Theater
The Marías,8:20 PM,9:20 PM,Outdoor Theater
Parcels,10:10 PM,CLOSE,Outdoor Theater
Doom Dave,1:00 PM,2:00 PM,Sonora
Glixen,2:00 PM,2:30 PM,Sonora
vs self,3:00 PM,3:30 PM,Sonora
TOPS,3:50 PM,4:30 PM,Sonora
julie,5:00 PM,5:40 PM,Sonora
KNEECAP,6:10 PM,7:00 PM,Sonora
Los Mirlos,7:30 PM,8:10 PM,Sonora
SPEED,8:40 PM,9:20 PM,Sonora
HiTech,10:00 PM,CLOSE,Sonora
Saison.,1:20 PM,2:05 PM,Gobi
PARISI,2:15 PM,3:05 PM,Gobi
Maribou State,3:30 PM,4:20 PM,Gobi
4batz,4:45 PM,5:25 PM,Gobi
d4vd,5:55 PM,6:35 PM,Gobi
A. G. Cook,7:00 PM,7:45 PM,Gobi
Artemas,8:15 PM, 9:00 PM,Gobi
CA7RIEL & Paco Amoroso,9:30 PM,10:15 PM,Gobi
Indo Warehouse,10:40 PM,CLOSE,Gobi
"Sincerely, Manolo",1:30 PM,2:20 PM,Mojave
Ravyn Lenae,2:35 PM,3:15 PM,Mojave
SAINt JHN,3:40 PM,4:20 PM,Mojave
Lola Young,4:50 PM,5:35 PM,Mojave
Djo,6:05 PM,6:50 PM,Mojave
Eyedress,7:20 PM,8:05 PM,Mojave
Miike Snow,8:35 PM,9:25 PM,Mojave
The Prodigy,10:05 PM,CLOSE,Mojave
MASSIO,1:45 PM,2:45 PM,Sahara
Austin Millz,2:55 PM,3:45 PM,Sahara
Chris Lorenzo,4:00 PM,5:00 PM,Sahara
Three 6 Mafia,5:15 PM,5:55 PM,Sahara
Sara Landry,6:10 PM,7:05 PM,Sahara
LISA,7:45 PM,8:40 PM,Sahara
Yeat,9:10 PM,9:55 PM,Sahara
GloRilla,10:25 PM,11:10 PM,Sahara
Mustard,11:50 PM,CLOSE,Sahara
EREZ,1:00 PM,1:45 PM,Yuma
Coco & Breezy,1:45 PM,2:45 PM,Yuma
Moon Boots,2:45 PM,3:45 PM,Yuma
Shermanology,3:45 PM,4:45 PM,Yuma
Damian Lazarus,4:45 PM,5:45 PM,Yuma
Beltran,5:45 PM,7:00 PM,Yuma
Tinlicker,7:00 PM,8:15 PM,Yuma
Pete Tong b2b Ahmed Spins,8:15 PM,9:45 PM,Yuma
Chris Stussy,9:45 PM,11:15 PM,Yuma
Vintage Culture,11:15 PM,CLOSE,Yuma
Coco & Breezy x Kaleena Zanders,5:00 PM,7:00 PM,Quasar
The Martinez Brothers x Loco Dice,7:00 PM,CLOSE,Quasar
Lovra,2:00 PM,3:00 PM,Heineken House
Mexican Institute of Sound,3:00 PM,4:00 PM,Heineken House
Kilimanjaro,4:00 PM,5:30 PM,Heineken House
Autograf,5:30 PM,7:00 PM,Heineken House
The Pharcyde,7:15 PM,8:30 PM,Heineken House
DJ Premier,8:30 PM,10:00 PM,Heineken House
RM47,1:00 PM,2:00 PM,Do LaB
Miluhska,2:00 PM,3:00 PM,Do LaB
AQUTIE,3:00 PM,4:00 PM,Do LaB
BAMBII,4:00 PM,5:00 PM,Do LaB
Layla Benitez b2b Henri Bergman,5:00 PM,6:05 PM,Do LaB
Surprise,6:05 PM,7:15 PM,Do LaB
DJ Pee .Wee aka Anderson .Paak,7:15 PM,8:15 PM,Do LaB
Jyoty b2b Zack Fox,8:15 PM,9:30 PM,Do LaB
ATRIP,9:30 PM,10:40 PM,Do LaB
NOTION,10:40 PM,11:50 PM,Do LaB
Surprise,11:50 PM,CLOSE,Do LaB
