artist,start,end,stage
skrause,2:45 PM,3:45 PM,Coachella Stage
Jimmy Eat World,4:00 PM,4:50 PM,Coachella Stage
T-Pain,5:25 PM,6:15 PM,Coachella Stage
Charli xcx,7:15 PM,8:10 PM,Coachella Stage
Green Day,9:05 PM,10:45 PM,Coachella Stage
Travis Scott,11:40 PM,CLOSE,Coachella Stage
Megatone,2:45 PM,3:45 PM,Outdoor Theater
Tink,4:00 PM,4:35 PM,Outdoor Theater
Japanese Breakfast,5:05 PM,5:50 PM,Outdoor Theater
Gustavo Dudamel & LA Phil,6:25 PM,7:15 PM,Outdoor Theater
Clairo,8:15 PM,9:10 PM,Outdoor Theater
Above & Beyond,9:45 PM,10:45 PM,Outdoor Theater
The Original Misfits,11:20 PM,CLOSE,Outdoor Theater
Triste Juventud x TÓTEM,1:00 PM,1:50 PM,Sonora
Prison Affair,1:50 PM,2:20 PM,Sonora
Together Pangea,2:40 PM,3:20 PM,Sonora
Judeline,3:50 PM,4:30 PM,Sonora
underscores,5:00 PM,5:40 PM,Sonora
Blonde Redhead,6:10 PM,7:00 PM,Sonora
VTSS,8:30 PM,9:20 PM,Sonora
El Malilla,9:50 PM,CLOSE,Sonora
Elusive,1:30 PM,2:00 PM,Gobi
Medium Build,2:10 PM,2:50 PM,Gobi
Glass Beans,4:05 PM,4:50 PM,Gobi
Viagra Boys,5:15 PM,6:00 PM,Gobi
2hollis,6:30 PM,7:15 PM,Gobi
Darkside,8:20 PM,9:10 PM,Gobi
Beth Gibbons,9:40 PM,10:30 PM,Gobi
Rawayana,11:00 PM,CLOSE,Gobi
Record Safari,2:00 PM,2:50 PM,Mojave
Weezer,3:10 PM,3:55 PM,Mojave
Yo Gabba Gabba!,4:45 PM,5:30 PM,Mojave
Sam Fender,5:55 PM,6:40 PM,Mojave
Ivan Cornejo,7:15 PM,8:00 PM,Mojave
Hanumankind,8:25 PM,9:05 PM,Mojave
horsegiirL,9:45 PM,10:30 PM,Mojave
The Dare,11:00 PM,CLOSE,Mojave
Talón,1:50 PM,2:50 PM,Sahara
salute,3:05 PM,3:55 PM,Sahara
Alok,4:10 PM,5:05 PM,Sahara
Disco Lines,5:25 PM,6:25 PM,Sahara
Shoreline Mafia,6:45 PM,7:30 PM,Sahara
ENHYPEN,8:35 PM,9:20 PM,Sahara
Mau P,9:50 PM,10:50 PM,Sahara
Keinemusik,11:30 PM,CLOSE,Sahara
HAAi,1:00 PM,2:00 PM,Yuma
DJ Gigola,2:00 PM,3:00 PM,Yuma
Layton Giordani,3:00 PM,4:15 PM,Yuma
Klangkuenstler,4:15 PM,5:30 PM,Yuma
Indira Paganotto,5:30 PM,6:45 PM,Yuma
Infected Mushroom,6:45 PM,8:00 PM,Yuma
Mind Against b2b Massano,8:00 PM,9:30 PM,Yuma
Amelie Lens,9:30 PM,11:00 PM,Yuma
Eli Brown,11:00 PM,CLOSE,Yuma
Fcukers DJ set x HAAi,6:00 PM,8:15 PM,Quasar
Barry Can't Swim x 2manydjs x salute,8:15 PM,CLOSE,Quasar
Miramar,2:00 PM,4:00 PM,Heineken House
Zeemuffin,4:00 PM,5:30 PM,Heineken House
Murda Beatz,5:30 PM,6:30 PM,Heineken House
Southside (DJ Set),6:30 PM,7:30 PM,Heineken House
Pusha T,7:45 PM,8:45 PM,Heineken House
Qveen Herby,9:00 PM,10:00 PM,Heineken House
Ladies of Leisure,1:00 PM,2:00 PM,Do LaB
Kaleena Zanders,2:00 PM,3:00 PM,Do LaB
Nooriyah,3:00 PM,4:00 PM,Do LaB
Blu DeTiger (DJ Set),4:00 PM,5:00 PM,Do LaB
Zulan,5:00 PM,6:00 PM,Do LaB
Trixie Mattel,6:00 PM,7:00 PM,Do LaB
SOSA,7:00 PM,8:15 PM,Do LaB
Kaz James,8:15 PM,9:30 PM,Do LaB
Ship Wrek,9:30 PM,10:45 PM,Do LaB
Surprise,10:45 PM,CLOSE,Do LaB
