artist,start,stage,url
Young Miko,4:45 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Sabrina Carpenter,6:00 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Lil Uzi Vert,7:35 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Peso Pluma,9:05 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Lana Del Rey,11:20 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
L'Impératrice,5:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Deftones,6:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Everything Always,8:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Justice,10:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
RÜFÜS DU SOL (DJ SET),11:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Cloonee,4:00 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Ken Carson,5:20 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Skepta,6:30 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Bizarrap,7:45 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Peggy Gou,9:15 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
ATEEZ,10:45 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Steve Angello,12 AM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Mall Grab,4:00 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
The Japanese House,4:30 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Faye Webster,5:40 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Tinashe,6:55 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Yoasobi,8:20 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Hatsune Miku,9:50 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Anti Up,11:15 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Sid Sriram,4:20 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Chappell Roan,5:30 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Brittany Howard,6:45 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
NEIL FRANCES,8:00 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Chlöe,9:15 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Suki Waterhouse,10:30 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Miss Monique,4:00 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Innellea,4:15 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
BLOND:ISH,5:30 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Kevin de Vries x Kolsch,6:45 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
ANOTR,8:15 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Adriatique,9:45 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Gorgon City,11:15 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
