artist,start,stage,url
Marc Rebillet,4:05 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
070 Shake,4:30 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Charli XCX,5:25 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
ROSALIA,6:55 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
BLACKPINK,9:20 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Calvin Harris,11:40 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
EARTHGANG,4:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Rebelution replay,4:50 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Hiatus Kaiyote,5:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
SOFI TUKKER,6:35 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
boygenius,8:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Eric Prydz presents HOLO,10:20 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Kenny Beats,4:20 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Elderbrook,5:30 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
FloMilli replay,6:25 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Diljit Dosanjh,6:50 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Tale of Us,8:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
$uicideboy$,9:30 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
The Kid LAROI,10:45 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Yung Lean,4:15 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
AG Club replay,4:55 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Mura Masa,5:20 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Snail Mail replay,6:00 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Remi Wolf,6:25 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Jai Paul,7:40 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Underworld,9:05 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Labrinth,10:40 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
UMI,4:05 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Dinner Party,4:30 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Elyanna replay,5:20 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Shenseea,5:45 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Yaeji,6:50 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Eladio Carrion,8:10 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Monolink,9:25 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Chromeo,10:40 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Donavan’s Yard,11:45 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Colyn,4:05 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Mathame,4:15 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
DJ Tennis + Carlita,5:30 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Jan Blomvqist,6:45 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
WhoMadeWho,8:00 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Hot Since 82,9:30 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Keinemusik,11:00 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
