artist,start,stage,url
Marc Rebillet,4:05 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
070 Shake,4:20 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Charli XCS,5:35 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Rosalía,7:00 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
BLACKPINK,9:00 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Calvin Harris,11:35 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
earthgang,4:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Rebelution replay,4:55 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Hiatus Kaiyote,5:20 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
SOFI TUKKER,6:35 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
boygenius,8:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Eric Prydz presents HOLO,10:20 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Kenny Beats,4:20 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Elderbrook,5:30 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
FloMilli replay,6:25 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Diljit Dosanjh,6:50 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Tale of Us,8:05 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
The Kid LAROI,10:20 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
$uicideboy$,11:45 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Yung Lean,4:15 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
AG Club replay,4:55 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Mura Masa,5:20 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Snail Mail replay,6:00 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Remi Wolf,6:25 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Underworld,9:05 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Labrinth,10:35 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
UMI,4:05 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Dinner Party,4:40 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Elyanna replay,5:30 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Shenseea,5:55 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Yaeji,7:00 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Eladio Carrion,8:20 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Monolink,9:30 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Chromeo,10:40 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Donavan's Yard,11:55 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Destroy Boys,4:05 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Ethel Cain,4:30 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Horsegirl replay,5:15 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
The Linda Lindas,5:35 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Scowl replay,6:15 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
The Breeders,6:40 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
BRATTY,7:30 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Sunset Rollercoaster,7:55 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Bakar,9:00 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Nia Archives,10:00 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
