artist,start,stage,url
Santa Fe Klan,4:45 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Sublime,6:05 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Blur,7:40 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
No Doubt,9:25 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Tyler the Creator,11:40 PM,Coachella Stage,https://www.youtube.com/watch?v=iYPwEzMm8i4
Blxst,6:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Jon Batiste,7:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
JUNGLE,8:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Gesaffelstein,10:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=M7zW11KC1Nk
Destroy Lonely,4:30 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Purple Disco Machine,5:40 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Grimes,7:10 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Ice Spice,8:30 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
ISOKNOCK,9:30 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
LE SSERAFIM,10:50 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
Dom Dolla,11:55 PM,Sahara,https://www.youtube.com/watch?v=keHf1_peYws
RAYE,4:10 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Kevin Abstract,5:25 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Kenya Grace,6:10 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Bleachers,6:50 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Charlotte de Witte,8:05 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Coi Leray,9:50 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
The Drums,10:45 PM,Mojave,https://www.youtube.com/watch?v=qwkyHiPoYY4
Young Fathers,4:00 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
thuy,4:20 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
The Last Dinner Party,5:30 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Erika de Casier,6:20 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Palace,6:45 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Oneohtrix Point Never,8:00 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Saint Levant,9:15 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Kevin Kaarl,10:25 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Orbital ,11:40 PM,Gobi,https://www.youtube.com/watch?v=GSRtPr96hss
Mahmut Orhan,4:00 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Rebuke,4:15 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Will Clarke,5:30 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Ame x Marcel Dettman,6:45 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Reiner Zonneveld,8:00 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
Patrick Mason,9:30 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
The Blessed Madonna,11:00 PM,Yuma,https://www.youtube.com/watch?v=CN_4koTned0
