artist,start,stage,url
Doechii,4:05 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Pusha T,4:30 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Becky G,5:45 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Burna Boy,7:05 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Gorillaz,8:35 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Bad Bunny,11:25 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Saba,4:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
YUNGBLUD,4:55 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
SG Lewis,6:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Kaytranada,7:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
The Chemical Brothers,9:50 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Malaa,4:15 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Vintage Culture,5:20 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Dombresky replay,6:15 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Blink-182,6:45 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Jamie Jones,8:05 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Two Friends,9:20 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Metro Boomin',10:35 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
BENEE,4:05 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
MUNA,4:50 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Lewis OfMan replay,5:35 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Wet Leg,6:00 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Domi & JD Beck replay,6:45 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Blondie,7:35 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Angèle,9:10 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
FKJ,10:35 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Gabriels,4:05 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Overmono,4:30 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Tobe Nwigwe,5:45 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
¿Téo? replay,6:35 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Yves Tumor,7:05 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
The Garden,8:15 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Whyte Fang,9:15 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Ashnikko,10:35 Pm,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Magdalena Bay,4:05 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
DannyLux,4:55 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Lava La Rue,5:55 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
The Murder Capital,7:20 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Soul Glo,9:00 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
