artist,start,end,stage
Jaqck Glam,3:00 PM,3:55 PM,Coachella Stage
Shaboozey,4:05 PM,4:50 PM,Coachella Stage
beabadoobee,5:25 PM,6:15 PM,Coachella Stage
Junior H,7:00 PM,7:50 PM,Coachella Stage
Megan Thee Stallion,8:35 PM,9:25 PM,Coachella Stage
Post Malone,10:25 PM,CLOSE,Coachella Stage
MEUTE,3:40 PM,4:30 PM,Outdoor Theater
Keshi,5:00 PM,5:45 PM,Outdoor Theater
Still Woozy,6:15 PM,7:00 PM,Outdoor Theater
JENNIE,7:45 PM,8:35 PM,Outdoor Theater
Zedd,9:10 PM,10:10 PM,Outdoor Theater
Polo & Pan,10:55 PM,CLOSE,Outdoor Theater
Salado,1:00 PM,2:00 PM,Sonora
Kumo 99,2:00 PM,2:30 PM,Sonora
Bob Vylan,3:00 PM,3:40 PM,Sonora
Wisp,4:10 PM,4:50 PM,Sonora
SOFT PLAY,5:20 PM,6:00 PM,Sonora
Circle Jerks,6:30 PM,7:10 PM,Sonora
Ginger Root,7:40 PM,8:35 PM,Sonora
Snow Strippers,9:05 PM,CLOSE,Sonora
KsoFresko,1:30 PM,2:25 PM,Gobi
Hope Tala,2:40 PM,3:20 PM,Gobi
The Beaches,3:45 PM,4:30 PM,Gobi
Amaarae,5:00 PM,5:45 PM,Gobi
Mohamed Ramadan,6:20 PM,7:00 PM,Gobi
BigXthaPlug,7:25 PM,8:05 PM,Gobi
Arca,8:35 PM,9:25 PM,Gobi
Amyl and the Sniffers,9:55 PM,CLOSE,Gobi
Canyon Cody,1:45 PM,2:45 PM,Mojave
Fcukers,3:00 PM,3:40 PM,Mojave
Muni Long,4:10 PM,4:55 PM,Mojave
Jessie Murph,5:25 PM,6:10 PM,Mojave
Rema,6:40 PM,7:25 PM,Mojave
Basement Jaxx,8:00 PM,8:50 PM,Mojave
Kraftwerk,9:25 PM,CLOSE,Mojave
Tom Breu,2:00 PM,3:30 PM,Sahara
Interplanetary Criminal,3:40 PM,4:40 PM,Sahara
Ben Böhmer,5:00 PM,5:45 PM,Sahara
Sammy Virji,6:00 PM,6:50 PM,Sahara
Boris Brejcha,7:00 PM,7:50 PM,Sahara
Chase & Status,8:10 PM,9:10 PM,Sahara
Ty Dolla $ign,9:35 PM,10:20 PM,Sahara
XG,10:55 PM,CLOSE,Sahara
Yulia Niko,1:00 PM,2:00 PM,Yuma
AMÉMÉ,2:00 PM,3:00 PM,Yuma
DESIREE,3:00 PM,4:30 PM,Yuma
Tripolism,4:30 PM,6:00 PM,Yuma
Sparrow & Barbossa,6:00 PM,7:30 PM,Yuma
Dennis Cruz,7:30 PM,9:00 PM,Yuma
Francis Mercier,9:00 PM,10:30 PM,Yuma
Dixon b2b Jimi Jules,10:30 PM,CLOSE,Yuma
Azzecca x Annicka,5:00 PM,7:00 PM,Quasar
Alesso Body Hi x Gorgon City,7:00 PM,CLOSE,Quasar
Anatta,2:00 PM,3:00 PM,Heineken House
Mojave Grey,3:00 PM,4:00 PM,Heineken House
Wuki,4:00 PM,5:30 PM,Heineken House
Badger,5:30 PM,7:00 PM,Heineken House
Afrojack,7:00 PM,8:30 PM,Heineken House
Digitalism,8:30 PM,10:00 PM,Heineken House
Techno Tupac,1:00 PM,2:00 PM,Do LaB
Annicka,2:00 PM,3:00 PM,Do LaB
Swimming Paul,3:00 PM,4:00 PM,Do LaB
Marsh,4:00 PM,5:00 PM,Do LaB
Surprise,5:00 PM,6:00 PM,Do LaB
Confidence Man (DJ Set),6:00 PM,7:00 PM,Do LaB
Levity,7:00 PM,8:15 PM,Do LaB
MK b2b Special Guest,8:15 PM,9:30 PM,Do LaB
Rudim3ntal b2b Skepsis,9:30 PM,10:45 PM,Do LaB
Surprise,10:45 PM,CLOSE,Do LaB
