artist,start,stage,url
Jimmy Eat World,4:00 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
T-Pain,5:25 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Charli xcx,7:15 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Green Day,9:05 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Travis Scott,11:40 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Tink,4:00 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Japanese Breakfast,5:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Gustavo Dudamel & LA Phil,6:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Clairo,8:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Above & Beyond,9:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
The Original Misfits,11:20 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Alok,4:10 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Disco Lines,5:25 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Talón,6:30 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Shoreline Mafia,6:45 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
salute,7:35 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
ENHYPEN,8:35 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Mau P,9:50 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Keinemusik,11:30 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Weezer,4:00 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Yo Gabba Gabba!,4:55 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Sam Fender,5:55 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Ivan Cornejo,7:15 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Hanumankind,8:25 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
horsegiirL,9:45 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
The Dare,11:00 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Barry Can't Swim x 2manydjs x salute,11:55 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Glass Beams,4:05 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Viagra Boys,5:15 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Medium Build,6:05 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
2hollis,6:30 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
DARKSIDE,8:20 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Beth Gibbons,9:40 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Rawayana,11:00 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Judeline,4:00 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
underscores,5:00 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Prison Affair,5:45 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Blonde Redhead,6:10 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Together Pangea,7:10 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
VTSS,8:30 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
El Malilla,9:50 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
