artist,start,stage,url
YG Marley,4:05 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Carin León,5:25 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Bebe Rexha,6:50 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Ludmilla,7:40 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
J Balvin,8:20 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Doja Cat,10:25 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Reneé Rapp,5:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
The Rose,6:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Khruangbin,7:50 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Jhené Aiko,9:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Jamie XX x Floating Points x Daphni,10:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
SPINALL,4:00 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Tita Lau,5:20 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
NAV,6:20 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Anyma,7:45 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
DJ Snake,9:15 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
AP Dhillon,10:15 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
John Summit,10:55 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Taking Back Sunday,4:10 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
88rising Futures,5:20 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
FLO,6:30 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Victoria Monét,6:55 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Tems,8:10 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Lil Yachty,9:25 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
BICEP,10:40 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Mdou Moctar,4:00 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Jockstrap,4:40 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Olivia Dean,5:50 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Two Shell,7:00 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Barry Can’t Swim,8:20 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Atarashii Gakko!,9:40 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
feeble little horse,4:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Hermanos Gutierrez,4:50 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Bb Trickz,5:45 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Eddie Zuko,6:05 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
LATIN MAFIA,7:05 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Mandy Indiana,8:15 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Boy Harsher,9:20 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
