artist,start,end,stage
Record Safari,2:50 PM,3:25 PM,Coachella Stage
Doechii,3:30 PM,4:10 PM,Coachella Stage,
Pusha T,4:30 PM,5:15 PM,Coachella Stage
Becky G,5:45 PM,6:30 PM,Coachella Stage
Burna Boy,7:05 PM,7:55 PM,Coachella Stage
Gorillaz,8:35 PM,9:50 PM,Coachella Stage
Bad Bunny,11:25 PM,CLOSE,Coachella Stage
Juicewon,1:00 PM,2:20 PM,Outdoor Theater
The Comet Is Coming,2:30 PM,3:15 PM,Outdoor Theater
Saba,3:45 PM,4:25 PM,Outdoor Theater
YUNGBLUD,4:55 PM,5:40 PM,Outdoor Theater
SG Lewis,6:10 PM,7:00 PM,Outdoor Theater
Kaytranada,7:30 PM,8:30 PM,Outdoor Theater
The Chemical Brothers,9:50 PM,CLOSE,Outdoor Theater
Jim Smith,12:00 PM,1:10 PM,Sonora
The Murder Capital,1:10 PM,1:40 PM,Sonora
Lava La Rue,2:00 PM,2:35 PM,Sonora
Soul Glo,2:55 PM,3:25 PM,Sonora
DannyLux,3:40 PM,4:20 PM,Sonora
Magdalena Bay,4:50 PM,5:35 PM,Sonora
TV Girl,5:55 PM,6:40 PM,Sonora
Sasha Alex Sloan,7:40 PM,8:20 PM,Sonora
Uncle Waffles,9:30 PM,CLOSE,Sonora
Desert Cahuilla Bird Singers,12:45 PM,1:10 PM,Gobi
Juipter & Okwess,1:20 PM,2:00 PM,Gobi
¿Téo?,2:20 PM,2:55 PM,Gobi
Gabriels,3:20 PM,4:05 PM,Gobi
Overmono,4:25 PM,5:15 PM,Gobi
Tobe Nwigwe,5:45 PM,6:35 PM,Gobi
Yves Tumor,7:05 PM,7:50 PM,Gobi
The Garden,8:15 PM,9:00 PM,Gobi
Whyte Fang,9:25 PM,10:15 PM,Gobi
Ashnikko,10:35 PM,CLOSE,Gobi
Black Jade,12:30 PM,1:30 PM,Mojave
Lewis OfMan,1:40 PM,2:15 PM,Mojave
Domi & JD Beck,2:40 PM,3:20 PM,Mojave
BENEE,3:45 PM,4:25 PM,Mojave
MUNA,4:50 PM,5:35 PM,Mojave
Wet Leg,6:00 PM,6:45 PM,Mojave
Blondie,7:35 PM,8:35 PM,Mojave
Angèle,9:10 PM,9:55 PM,Mojave
FKJ,10:35 PM,CLOSE,Mojave
Mary Jane,1:45 PM,3:00 PM,Sahara
Dombresky,3:10 PM,4:05 PM,Sahara
Malaa,4:15 PM,5:10 PM,Sahara
Vintage Culture,5:20 PM,6:15 PM,Sahara
Blink-182,6:45 PM,7:35 PM,Sahara
Jamie Jones,8:05 PM,8:55 PM,Sahara
Two Friends,9:20 PM,10:05 PM,Sahara
Metro Boomin,10:35 PM,CLOSE,Sahara
Juliet Mendoza,12:00 PM,1:00 PM,Yuma
Chris Stussy,1:00 PM,2:00 PM,Yuma
Kyle Watson,2:00 PM,3:00 PM,Yuma
Oliver Koletzki,3:00 PM,4:15 PM,Yuma
Dennis Cruz + PAWSA,4:15 PM,5:30 PM,Yuma
Nora En Pure,5:30 PM,6:45 PM,Yuma
Idris Elba,6:45 PM,8:15 PM,Yuma
Mochakk,8:15 PM,9:45 PM,Yuma
TESTPILOT,9:45 PM,11:15 PM,Yuma
Maceo Plex,11:15 PM,CLOSE,Yuma
Bones,12:00 PM,2:00 PM,Heineken House
Lee Wells,2:00 PM,4:00 PM,Heineken House
Hannah Wants,4:00 PM,6:00 PM,Heineken House
Walker & Royce,6:00 PM,8:00 PM,Heineken House
Felix Da Housecat,8:00 PM,10:00 PM,Heineken House
Andreas One,12:00 PM,1:30 PM,Do LaB
Michaël Brun,1:30 PM,2:40 PM,Do LaB
Bresh,2:40 PM,4:10 PM,Do LaB
Bambii,4:15 PM,5:15 PM,Do LaB
Mr. Carmack,5:20 PM,6:20 PM,Do LaB
The Glitch Mob,6:25 PM,7:25 PM,Do LaB
Whipped Cream,7:25 PM,8:25 PM,Do LaB
(SURPRISE),8:30 PM,9:50 PM,Do LaB
Flight Facilities DJ set,9:50 PM, 11:00 PM,Do LaB
(SURPRISE),11:00 PM, 1:00 AM,Do LaB
