artist,start,end,stage
Doechii,3:20 PM,4:00 PM,Coachella Stage
Pusha T,4:20 PM,5:05 PM,Coachella Stage
Becky G,5:35 PM,6:20 PM,Coachella Stage
Burna Boy,7:00 PM,7:50 PM,Coachella Stage
Gorillaz,8:30 PM,9:45 PM,Coachella Stage
Bad Bunny,11:00 PM,CLOSE,Coachella Stage
Mimi,1:00 PM,2:20 PM,Outdoor Theater
The Comet Is Coming,2:30 PM,3:15 PM,Outdoor Theater
Saba,3:40 PM,4:20 PM,Outdoor Theater
YUNGBLUD,4:45 PM,5:30 PM,Outdoor Theater
SG Lewis,6:00 PM,6:50 PM,Outdoor Theater
Kaytranada,7:25 PM,8:25 PM,Outdoor Theater
The Chemical Brothers,9:45 PM,CLOSE,Outdoor Theater
Dave from the Grave,12:00 PM,1:10 PM,Sonora
The Murder Capital,1:10 PM,1:40 PM,Sonora
Lava La Rue,2:00 PM,2:35 PM,Sonora
Soul Glo,2:55 PM,3:25 PM,Sonora
DannyLux,3:40 PM,4:20 PM,Sonora
Magdalena Bay,4:50 PM,5:35 PM,Sonora
TV Girl,5:55 PM,6:40 PM,Sonora
Sasha Alex Sloan,7:40 PM,8:20 PM,Sonora
Uncle Waffles,8:45 PM,CLOSE,Sonora
Desert Cahuilla Bird Singers,12:35 PM,1:00 PM,Gobi
Juipter & Okwess,1:10 PM,1:50 PM,Gobi
¿Téo?,2:10 PM,2:45 PM,Gobi
Gabriels,3:10 PM,3:55 PM,Gobi
Overmono,4:15 PM,5:05 PM,Gobi
Tobe Nwigwe,5:30 PM,6:20 PM,Gobi
Yves Tumor,6:45 PM,7:30 PM,Gobi
The Garden,7:55 PM,8:40 PM,Gobi
Whyte Fang,9:05 PM,9:55 PM,Gobi
Ashnikko,10:20 PM,CLOSE,Gobi
Record Safari,12:30 PM,1:30 PM,Mojave
Lewis OfMan,1:40 PM,2:15 PM,Mojave
Domi & JD Beck,2:40 PM,3:20 PM,Mojave
BENEE,3:45 PM,4:25 PM,Mojave
MUNA,4:50 PM,5:35 PM,Mojave
Wet Leg,6:00 PM,6:45 PM,Mojave
Blondie,7:20 PM,8:20 PM,Mojave
Angèle,8:50 PM,9:40 PM,Mojave
FKJ,10:15 PM,CLOSE,Mojave
Yimbo,1:40 PM,2:40 PM,Sahara
Dombresky,2:50 PM,3:45 PM,Sahara
Malaa,3:55 PM,4:50 PM,Sahara
Vintage Culture,5:00 PM,5:55 PM,Sahara
MK,6:05 PM,7:00 PM,Sahara
Jamie Jones,7:15 PM,8:05 PM,Sahara
Two Friends,8:35 PM,9:20 PM,Sahara
Metro Boomin,9:50 PM,CLOSE,Sahara
Juliet Mendoza,12:00 PM,1:00 PM,Yuma
Chris Stussy,1:00 PM,2:00 PM,Yuma
Kyle Watson,2:00 PM,3:00 PM,Yuma
Oliver Koletzki,3:00 PM,4:15 PM,Yuma
Dennis Cruz + PAWSA,4:15 PM,5:30 PM,Yuma
Nora En Pure,5:30 PM,6:45 PM,Yuma
Idris Elba,6:45 PM,8:15 PM,Yuma
Mochakk,8:15 PM,9:45 PM,Yuma
TESTPILOT,9:45 PM,11:15 PM,Yuma
Maceo Plex,11:15 PM,CLOSE,Yuma
Antoinette Van Dewark,12:00 PM,2:00 PM,Heineken House
Honeyluv,2:00 PM,4:00 PM,Heineken House
Francis Mercier,4:00 PM,6:15 PM,Heineken House
Chris Stussy,6:15 PM,8:30 PM,Heineken House
Emmit Fenn,8:30 PM,10:00 PM,Heineken House
Littlefoot,12:00 PM,1:10 PM,Do LaB
Ali Farahani b2b Patrik Khach,1:10 PM,2:40 PM,Do LaB
Patricio,2:40 PM,3:55 PM,Do LaB
Emmit Fenn,4:00 PM,5:00 PM,Do LaB
Flamingosis,5:05 PM,6:10 PM,Do LaB
Maddy O'Neal,6:15 PM,7:20 PM,Do LaB
The Funk Hunters,7:25 PM,8:35 PM,Do LaB
Of The Trees,8:35 PM,9:40 PM,Do LaB
Disco Wrek (Disco Lines b2b Ship Wrek),9:45 PM,11:00 PM,Do LaB
(SURPRISE),11:00 PM,12:00 AM,Do LaB
The Brothers Macklovitch (A-Trak & Dave1),12:00 AM,1:00 AM,Do LaB
